Number,Class,Proper Shipping Name,Health,Fire,Reactivity,Special
0106,1.1B,"Fuzes, detonating",,,,
0107,1.2B,"Fuzes, detonating",,,,
0110,1.4S,"Grenades, practice, hand or rifle",,,,
0113,1.1A,"Guanyl nitrosaminoguanylidene hydrazine, wetted with not less than 30 percent water, by mass",,,,
0114,1.1A,"Guanyl nitrosaminoguanyltetrazene, wetted or Tetrazene, wetted with not less than 30 percent water or mixture of alcohol and water, by mass",,,,
0118,1.1D,"Hexolite, or Hexotol dry or wetted with less than 15 percent water, by mass",,,,
0121,1.1G,Igniters,,,,
0124,1.1D,"Jet, perforating guns, charged oil well, without detonator",,,,
0129,1.1A,"Lead azide, wetted with not less than 20 percent water or mixture of alcohol and water, by mass",,,,
0130,1.1A,"Lead styphnate, wetted or Lead trinitroresorcinate, wetted with not less than 20 percent water or mixture of alcohol and water, by mass",,,,
0131,1.4S,"Lighters, fuse",,,,
0132,1.3C,"Deflagrating metal salts of aromatic nitroderivatives, n.o.s.",,,,
0133,1.1D,"Mannitol hexanitrate, wetted or Nitromannite, wetted with not less than 40 percent water, or mixture of alcohol and water, by mass",,,,
0135,1.1A,"Mercury fulminate, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass",,,,
0136,1.1F,Mines with bursting charge,,,,
0137,1.1D,Mines with bursting charge,,,,
0138,1.2D,Mines with bursting charge,,,,
0143,1.1D,"Nitroglycerin, desensitized with not less than 40 percent non-volatile water-insoluble phlegmatizer, by mass",,,,
0144,1.1D,"Nitroglycerin, solution in alcohol, with more than 1 percent but not more than 10 percent nitroglycerin",,,,
0146,1.1D,"Nitrostarch, dry or wetted with less than 20 percent water, by mass",,,,
0147,1.1D,Nitro urea,,,,
0150,1.1D,"Pentaerythrite tetranitrate, wetted or Pentaerythritol tetranitrate, wetted or PETN, wetted with not less than 25 percent water, by mass, or Pentaerythrite tetranitrate, or Pentaerythritol tetranitrate, or PETN, desensitized with not less than 15 percent phlegmatizer, by mass",,,,
0151,1.1D,"Pentolite, dry or wetted with less than 15 percent water, by mass",,,,
0153,1.1D,Trinitroaniline or Picramide,,,,
0154,1.1D,"Trinitrophenol or picric acid, dry or wetted with less than 30 percent water, by mass",,,,
0155,1.1D,Trinitrochlorobenzene or Picryl chloride,,,,
0159,1.3C,"Powder cake, wetted or Powder paste, wetted with not less than 25 percent water, by mass",,,,
0160,1.1C,"Powder, smokeless",,,,
0161,1.3C,"Powder, smokeless",,,,
0167,1.1F,"Projectiles, with bursting charge",,,,
0168,1.1D,"Projectiles, with bursting charge",,,,
0169,1.2D,"Projectiles, with bursting charge",,,,
0171,1.2G,"Ammunition, illuminating with or without burster, expelling charge, or propelling charge",,,,
0173,1.4S,"Release devices, explosive",,,,
0174,1.4S,"Rivets, explosive",,,,
0180,1.1F,"Rockets, with bursting charge",,,,
0181,1.1E,"Rockets, with bursting charge",,,,
0182,1.2E,"Rockets, with bursting charge",,,,
0183,1.3C,"Rockets, with inert head",,,,
0186,1.3C,Rocket motors,,,,
0190,1,"Samples, explosive, other than initiating explosives",,,,
0191,1.4G,"Signal devices, hand",,,,
0192,1.1G,"Signals, railway track, explosive",,,,
0193,1.4S,"Signals, railway track, explosive",,,,
0194,1.1G,"Signals, distress, ship",,,,
0195,1.3G,"Signals, distress, ship",,,,
0196,1.1G,"Signals, smoke",,,,
0197,1.4G,"Signals, smoke",,,,
0204,1.2F,"Sounding devices, explosive",,,,
0207,1.1D,Tetranitroaniline,,,,
0208,1.1D,Trinitrophenylmethylnitramine or Tetryl,,,,
0209,1.1D,"Trinitrotoluene or TNT, dry or wetted with less than 30 percent water, by mass",,,,
0212,1.3G,Tracers for ammunition,,,,
0213,1.1D,Trinitroanisole,,,,
0214,1.1D,"Trinitrobenzene, dry or wetted with less than 30 percent water, by mass",,,,
0215,1.1D,"Trinitrobenzoic acid, dry or wetted with less than 30 percent water, by mass",,,,
0216,1.1D,Trinitro-meta-cresol,,,,
0217,1.1D,Trinitronaphthalene,,,,
0218,1.1D,Trinitrophenetole,,,,
0219,1.1D,"Trinitroresorcinol or Styphnic acid, dry or wetted with less than 20 percent water, or mixture of alcohol and water, by mass",,,,
0220,1.1D,"Urea nitrate, dry or wetted with less than 20 percent water, by mass",,,,
0221,1.1D,"Warheads, torpedo with bursting charge",,,,
0222,1.1D,"Ammonium nitrate, with more than 0.2 percent combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",,,,
0224,1.1A,"Barium azide, dry or wetted with less than 50 percent water, by mass",,,,
0225,1.1B,Boosters with detonator,,,,
0226,1.1D,"Cyclotetramethylenetetranitramine, wetted or HMX, wetted or Octogen, wetted with not less than 15 percent water, by mass",,,,
0234,1.3C,"Sodium dinitro-o-cresolate, dry or wetted with less than 15 percent of water, by mass",,,,
0235,1.3C,"Sodium picramate, dry or wetted with less than 20 percent water, by mass",,,,
0236,1.3C,"Zirconium picramate, dry or wetted less than 20 percent water, by mass",,,,
0237,1.4D,"Charges, shaped, flexible, linear",,,,
0238,1.2G,"Rockets, line-throwing",,,,
0240,1.3G,"Rockets, line-throwing",,,,
0241,1.1D,"Explosive, blasting, type E",,,,
0242,1.3C,"Charges, propelling, for cannon",,,,
0243,1.2H,"Ammunition, incendiary, white phosphorus, with burster, expelling charge, or propelling charge",,,,
0244,1.3H,"Ammunition, incendiary, white phosphorus, with burster, expelling charge, or propelling charge",,,,
0245,1.2H,"Ammunition smoke, white phosphorus with burster, expelling charge, or propelling charge",,,,
0246,1.3H,"Ammunition smoke, white phosphorus with burster, expelling charge, or propelling charge",,,,
0247,1.3J,"Ammunition, incendiary liquid or gel, with burster, expelling charge, or propelling charge",,,,
0248,1.2L,"Contrivances, water-activated, with burster, expelling charge, or propelling charge",,,,
0249,1.3L,"Contrivances, water-activated, with burster, expelling charge, or propelling charge",,,,
0250,1.3L,Rocket motors with hypergolic liquids with or without an expelling charge,,,,
0254,1.3G,"Ammunition, illuminating with or without burster, expelling charge, or propelling charge",,,,
0255,1.4B,"Detonators, electric, for blasting",,,,
0257,1.4B,"Fuzes, detonating",,,,
0266,1.1D,"Octolite or Octol, dry or wetted with less than 15 percent water, by mass",,,,
0267,1.4B,"Detonators, non-electric, for blasting",,,,
0268,1.2B,Boosters with detonator,,,,
0271,1.1C,"Charges, propelling",,,,
0272,1.3C,"Charges, propelling",,,,
0275,1.3C,"Cartridges, power device",,,,
0276,1.4C,"Cartridges, power device",,,,
0277,1.3C,"Cartridges, oil well",,,,
0278,1.4C,"Cartridges, oil well",,,,
0279,1.1C,"Charges, propelling, for cannon",,,,
0280,1.1C,Rocket motors,,,,
0281,1.2C,Rocket motors,,,,
0282,1.1D,"Nitroguanidine or Picrite, dry or wetted with less than 20 percent water, by mass",,,,
0283,1.2D,"Boosters, without detonator",,,,
0284,1.1D,"Grenades, hand or rifle, with bursting charge",,,,
0285,1.2D,"Grenades, hand or rifle, with bursting charge",,,,
0286,1.1D,"Warheads, rocket with bursting charge",,,,
0287,1.2D,"Warheads, rocket with bursting charge",,,,
0288,1.1D,"Charges, shaped, flexible, linear",,,,
0289,1.4D,"Cord, detonating, flexible",,,,
0290,1.1D,"Cord, detonating or Fuse, detonating metal clad",,,,
0291,1.2F,"Bombs, with bursting charge",,,,
0292,1.1F,"Grenades, hand or rifle, with bursting charge",,,,
0293,1.2F,"Grenades, hand or rifle, with bursting charge",,,,
0294,1.2F,Mines with bursting charge,,,,
0295,1.2F,"Rockets, with bursting charge",,,,
0296,1.1F,"Sounding devices, explosive",,,,
0297,1.4G,"Ammunition, illuminating with or without burster, expelling charge, or propelling charge",,,,
0299,1.3G,"Bombs, photo-flash",,,,
0300,1.4G,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",,,,
0301,1.4G,"Ammunition, tear-producing with burster, expelling charge, or propelling charge",,,,
0303,1.4G,"Ammunition, smoke, with or without burster, expelling charge, or propelling charge",,,,
0305,1.3G,Flash powder,,,,
0306,1.4G,Tracers for ammunition,,,,
0312,1.4G,"Cartridges, signal",,,,
0313,1.2G,"Signals, smoke",,,,
0314,1.2G,Igniters,,,,
0315,1.3G,Igniters,,,,
0316,1.3G,"Fuzes, igniting",,,,
0317,1.4G,"Fuzes, igniting",,,,
0318,1.3G,"Grenades, practice, hand or rifle",,,,
0319,1.3G,"Primers, tubular",,,,
0320,1.4G,"Primers, tubular",,,,
0321,1.2E,"Cartridges for weapons, with bursting charge",,,,
0322,1.2L,Rocket motors with hypergolic liquids with or without an expelling charge,,,,
0323,1.4S,"Cartridges, power device",,,,
0324,1.2F,"Projectiles, with bursting charge",,,,
0325,1.4G,Igniters,,,,
0326,1.1C,"Cartridges for weapons, blank",,,,
0327,1.3C,"Cartridges for weapons, blank or Cartridges, small arms, blank",,,,
0328,1.2C,"Cartridges for weapons, inert projectile",,,,
0329,1.1E,Torpedoes with bursting charge,,,,
0330,1.1F,Torpedoes with bursting charge,,,,
0331,1.5D,"Explosive, blasting, type B or Agent, blasting, Type B",,,,
0332,1.5D,"Explosive, blasting, type E or Agent, blasting, Type E",,,,
0333,1.1G,Fireworks,,,,
0334,1.2G,Fireworks,,,,
0335,1.3G,Fireworks,,,,
0336,1.4G,Fireworks,,,,
0337,1.4S,Fireworks,,,,
0338,1.4C,"Cartridges for weapons, blank or Cartridges, small arms, blank",,,,
0339,1.4C,"Cartridges for weapons, inert projectile or Cartridges, small arms",,,,
0340,1.1D,"Nitrocellulose, dry or wetted with less than 25 percent water (or alcohol), by mass",,,,
0341,1.1D,"Nitrocellulose, unmodified or plasticized with less than 18 percent plasticizing substance, by mass",,,,
0342,1.3C,"Nitrocellulose, wetted with not less than 25 percent alcohol, by mass",,,,
0343,1.3C,"Nitrocellulose, plasticized with not less than 18 percent plasticizing substance, by mass",,,,
0344,1.4D,"Projectiles, with bursting charge",,,,
0345,1.4S,"Projectiles, inert with tracer",,,,
0346,1.2D,"Projectiles, with burster or expelling charge",,,,
0347,1.4D,"Projectiles, with burster or expelling charge",,,,
0348,1.4F,"Cartridges for weapons, with bursting charge",,,,
0349,1.4S,"Articles, explosive, n.o.s.",,,,
0350,1.4B,"Articles, explosive, n.o.s.",,,,
0351,1.4C,"Articles, explosive, n.o.s.",,,,
0352,1.4D,"Articles, explosive, n.o.s.",,,,
0353,1.4G,"Articles, explosive, n.o.s.",,,,
0354,1.1L,"Articles, explosive, n.o.s.",,,,
0355,1.2L,"Articles, explosive, n.o.s.",,,,
0356,1.3L,"Articles, explosive, n.o.s.",,,,
0357,1.1L,"Substances, explosive, n.o.s.",,,,
0358,1.2L,"Substances, explosive, n.o.s.",,,,
0359,1.3L,"Substances, explosive, n.o.s.",,,,
0360,1.1B,"Detonator assemblies, non-electric for blasting",,,,
0361,1.4B,"Detonator assemblies, non-electric for blasting",,,,
0362,1.4G,"Ammunition, practice",,,,
0363,1.4G,"Ammunition, proof",,,,
0364,1.2B,Detonators for ammunition,,,,
0365,1.4B,Detonators for ammunition,,,,
0366,1.4S,Detonators for ammunition,,,,
0367,1.4S,"Fuzes, detonating",,,,
0368,1.4S,"Fuzes, igniting",,,,
0369,1.1F,"Warheads, rocket with bursting charge",,,,
0370,1.4D,"Warheads, rocket with burster or expelling charge",,,,
0371,1.4F,"Warheads, rocket with burster or expelling charge",,,,
0372,1.2G,"Grenades, practice, hand or rifle",,,,
0373,1.4S,"Signal devices, hand",,,,
0374,1.1D,"Sounding devices, explosive",,,,
0375,1.2D,"Sounding devices, explosive",,,,
0376,1.4S,"Primers, tubular",,,,
0377,1.1B,"Primers, cap type",,,,
0378,1.4B,"Primers, cap type",,,,
0379,1.4C,"Cases, cartridges, empty with primer",,,,
0380,1.2L,"Articles, pyrophoric",,,,
0381,1.2C,"Cartridges, power device",,,,
0382,1.2B,"Components, explosive train, n.o.s.",,,,
0383,1.4B,"Components, explosive train, n.o.s.",,,,
0384,1.4S,"Components, explosive train, n.o.s.",,,,
0385,1.1D,5-Nitrobenzotriazol,,,,
0386,1.1D,Trinitrobenzenesulfonic acid,,,,
0387,1.1D,Trinitrofluorenone,,,,
0388,1.1D,Trinitrotoluene and Trinitrobenzene mixtures or TNT and trinitrobenzene mixtures or TNT and hexanitrostilbene mixtures or Trinitrotoluene and hexanitrostilnene mixtures,,,,
0389,1.1D,Trinitrotoluene mixtures containing Trinitrobenzene and Hexanitrostilbene or TNT mixtures containing trinitrobenzene and hexanitrostilbene,,,,
0390,1.1D,Tritonal,,,,
0391,1.1D,"RDX and HMX mixtures, wetted with not less than 15 percent water by mass or RDX and HMX mixtures, desensitized with not less than 10 percent phlegmatizer by mass",,,,
0392,1.1D,Hexanitrostilbene,,,,
0393,1.1D,Hexotonal,,,,
0394,1.1D,"Trinitroresorcinol, wetted or Styphnic acid, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass",,,,
0395,1.2J,"Rocket motors, liquid fueled",,,,
0396,1.3J,"Rocket motors, liquid fueled",,,,
0397,1.1J,"Rockets, liquid fueled with bursting charge",,,,
0398,1.2J,"Rockets, liquid fueled with bursting charge",,,,
0399,1.1J,"Bombs with flammable liquid, with bursting charge",,,,
0400,1.2J,"Bombs with flammable liquid, with bursting charge",,,,
0401,1.1D,"Dipicryl sulfide, dry or wetted with less than 10 percent water, by mass",,,,
0402,1.1D,Ammonium perchlorate,1,0,4,ox
0403,1.4G,"Flares, aerial",,,,
0404,1.4S,"Flares, aerial",,,,
0405,1.4S,"Cartridges, signal",,,,
0406,1.3C,Dinitrosobenzene,,,,
0407,1.4C,Tetrazol-1-acetic acid,,,,
0408,1.1D,"Fuzes, detonating, with protective features",,,,
0409,1.3D,"Fuzes, detonating, with protective features",,,,
0410,1.4D,"Fuzes, detonating, with protective features",,,,
0411,1.1D,"Pentaerythrite tetranitrate or Pentaerythritol tetranitrate or PETN, with not less than 7 percent wax by mass",,,,
0412,1.4E,"Cartridges for weapons, with bursting charge",,,,
0413,1.2C,"Cartridges for weapons, blank",,,,
0414,1.2C,"Charges, propelling, for cannon",,,,
0415,1.2C,"Charges, propelling",,,,
0417,1.3C,"Cartridges for weapons, inert projectile or Cartridges, small arms",,,,
0418,1.1G,"Flares, surface",,,,
0419,1.2G,"Flares, surface",,,,
0420,1.1G,"Flares, aerial",,,,
0421,1.2G,"Flares, aerial",,,,
0424,1.3G,"Projectiles, inert with tracer",,,,
0425,1.4G,"Projectiles, inert with tracer",,,,
0426,1.2F,"Projectiles, with burster or expelling charge",,,,
0427,1.4F,"Projectiles, with burster or expelling charge",,,,
0428,1.1G,"Articles, pyrotechnic for technical purposes",,,,
0429,1.2G,"Articles, pyrotechnic for technical purposes",,,,
0430,1.3G,"Articles, pyrotechnic for technical purposes",,,,
0431,1.4G,"Articles, pyrotechnic for technical purposes",,,,
0432,1.4S,"Articles, pyrotechnic for technical purposes",,,,
0433,1.1C,"Powder cake, wetted or Powder paste, wetted with not less than 17 percent alcohol by mass",,,,
0434,1.2G,"Projectiles, with burster or expelling charge",,,,
0435,1.4G,"Projectiles, with burster or expelling charge",,,,
0436,1.2C,"Rockets, with expelling charge",,,,
0437,1.3C,"Rockets, with expelling charge",,,,
0438,1.4C,"Rockets, with expelling charge",,,,
0439,1.2D,"Charges, shaped, without detonator",,,,
0440,1.4D,"Charges, shaped, without detonator",,,,
0441,1.4S,"Charges, shaped, without detonator",,,,
0442,1.1D,"Charges, explosive, commercial without detonator",,,,
0443,1.2D,"Charges, explosive, commercial without detonator",,,,
0444,1.4D,"Charges, explosive, commercial without detonator",,,,
0445,1.4S,"Charges, explosive, commercial without detonator",,,,
0446,1.4C,"Cases, combustible, empty, without primer",,,,
0447,1.3C,"Cases, combustible, empty, without primer",,,,
0448,1.4C,5-Mercaptotetrazol-1-acetic acid,,,,
0449,1.1J,"Torpedoes, liquid fueled, with or without bursting charge",,,,
0450,1.3J,"Torpedoes, liquid fueled, with inert head",,,,
0451,1.1D,Torpedoes with bursting charge,,,,
0452,1.4G,"Grenades, practice, hand or rifle",,,,
0453,1.4G,"Rockets, line-throwing",,,,
0454,1.4S,Igniters,,,,
0455,1.4S,"Detonators, non-electric, for blasting",,,,
0456,1.4S,"Detonators, electric, for blasting",,,,
0457,1.1D,"Charges, bursting, plastics bonded",,,,
0458,1.2D,"Charges, bursting, plastics bonded",,,,
0459,1.4D,"Charges, bursting, plastics bonded",,,,
0460,1.4S,"Charges, bursting, plastics bonded",,,,
0461,1.1B,"Components, explosive train, n.o.s.",,,,
0462,1.1C,"Articles, explosive, n.o.s.",,,,
0463,1.1D,"Articles, explosive, n.o.s.",,,,
0464,1.1E,"Articles, explosive, n.o.s.",,,,
0465,1.1F,"Articles, explosive, n.o.s.",,,,
0466,1.2C,"Articles, explosive, n.o.s.",,,,
0467,1.2D,"Articles, explosive, n.o.s.",,,,
0468,1.2E,"Articles, explosive, n.o.s.",,,,
0469,1.2F,"Articles, explosive, n.o.s.",,,,
0470,1.3C,"Articles, explosive, n.o.s.",,,,
0471,1.4E,"Articles, explosive, n.o.s.",,,,
0472,1.4F,"Articles, explosive, n.o.s.",,,,
0473,1.1A,"Substances, explosive, n.o.s.",,,,
0474,1.1C,"Substances, explosive, n.o.s.",,,,
0475,1.1D,"Substances, explosive, n.o.s.",,,,
0476,1.1G,"Substances, explosive, n.o.s.",,,,
0477,1.3C,"Substances, explosive, n.o.s.",,,,
0478,1.3G,"Substances, explosive, n.o.s.",,,,
0479,1.4C,"Substances, explosive, n.o.s.",,,,
0480,1.4D,"Substances, explosive, n.o.s.",,,,
0481,1.4S,"Substances, explosive, n.o.s.",,,,
0482,1.5D,"Substances, explosive, very insensitive, n.o.s. or Substances, EVI, n.o.s.",,,,
0483,1.1D,"Cyclotrimethylenetrinitramine, desensitized or Cyclonite, desensitized or Hexogen, desensitized or RDX, desensitized",,,,
0484,1.1D,"Cyclotetramethylenetetranitramine, desensitized or Octogen, desensitized or HMX, desensitized",,,,
0485,1.4G,"Substances, explosive, n.o.s.",,,,
0486,1.6N,"Articles, explosive, extremely insensitive or Articles, EEI",,,,
0487,1.3G,"Signals, smoke",,,,
0488,1.3G,"Ammunition, practice",,,,
0489,1.1D,Dinitroglycoluril or Dingu,,,,
0490,1.1D,Nitrotriazolone or NTO,,,,
0491,1.4C,"Charges, propelling",,,,
0492,1.3G,"Signals, railway track, explosive",,,,
0493,1.4G,"Signals, railway track, explosive",,,,
0494,1.4D,"Jet, perforating guns, charged, oil well, without detonator",,,,
0495,1.3C,"Propellant, liquid",,,,
0496,1.1D,Octonal,,,,
0497,1.1C,"Propellant, liquid",,,,
0498,1.1C,"Propellant, solid",,,,
0499,1.3C,"Propellant, solid",,,,
0500,1.4S,"Detonator assemblies, non-electric, for blasting",,,,
0501,1.4C,"Propellant, solid",,,,
0502,1.2C,"Rockets, with inert head",,,,
0503,1.4G,"Safety devices, pyrotechnic",,,,
0504,1.1D,1H-Tetrazole,,,,
0505,1.4G,"Signals, distress, ship",,,,
0506,1.4S,"Signals, distress, ship",,,,
0507,1.4S,"Signals, smoke",,,,
0508,1.3C,"1-Hydroxybenzotriazole, anhydrous, dry or wetted with less than 20% water, by mass",,,,
0509,1.4C,"Powder, smokeless",,,,
0510,1.4C,Rocket motors,,,,
0511,1.1B,"Detonators, electronic, programmable for blasting",,,,
0512,1.4B,"Detonators, electronic, programmable for blasting",,,,
0513,1.4S,"Detonators, electronic, programmable for blasting",,,,
0514,1.4S,Fire suppressant dispersing devices,,,,
1001,2.1,"Acetylene, dissolved",1,4,3,
1002,2.2,"Air, compressed",,,,
1003,2.2,"Air, refrigerated liquid, (cryogenic liquid) and Air, refrigerated liquid, (cryogenic liquid) non-pressurized",,,,
1005,2.2 and 2.3,"Ammonia, anhydrous",3,1,0,
1006,2.2,"Argon, compressed",,,,
1008,2.3,Boron trifluoride,3,0,1,
1009,2.2,"Bromotrifluoromethane or Refrigerant gas, R 13B1.",,,,
1010,2.1,"Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized containing more than 40% butadienes",2,4,2,
1011,2.1,"Butane see also Petroleum gases, liquefied",,,,
1012,2.1,"Butylene see also Petroleum gases, liquefied",,,,
1013,2.2,Carbon dioxide,,,,
1016,2.3,"Carbon monoxide, compressed",3,4,0,
1017,2.3,Chlorine,3,0,0,ox
1018,2.2,Chlorodifluoromethane or Refrigerant gas R 22,,,,
1020,2.2,Chloropentafluoroethane or Refrigerant gas R 115,,,,
1021,2.2,"1-Chloro-1,2,2,2-tetrafluoroethane or Refrigerant gas R 124",,,,
1022,2.2,Chlorotrifluoromethane or Refrigerant gas R 13,,,,
1023,2.3,"Coal gas, compressed",,,,
1026,2.3,Cyanogen,,,,
1027,2.1,Cyclopropane,,,,
1028,2.2,Dichlorodifluoromethane or Refrigerant gas R 12,,,,
1029,2.2,Dichlorofluoromethane or Refrigerant gas R 21,,,,
1030,2.1,"1,1-Difluoroethane or Refrigerant gas R 152a",,,,
1032,2.1,"Dimethylamine, anhydrous",3,4,0,
1033,2.1,Dimethyl ether,2,4,1,
1035,2.1,Ethane,,,,
1036,2.1,Ethylamine,,,,
1037,2.1,Ethyl chloride,2,4,0,
1038,2.1,"Ethylene, refrigerated liquid (cryogenic liquid)",,,,
1039,2.1,Ethyl methyl ether,2,4,1,
1040,2.3,Ethylene oxide or Ethylene oxide with nitrogen up to a total pressure of 1MPa (10 bar) at 50 °C,,,,
1041,2.1,Ethylene oxide and carbon dioxide mixtures with more than 9 percent but not more than 87 percent ethylene oxide,,,,
1043,2.2,Fertilizer ammoniating solution with free ammonia,,,,
1044,2.2,Fire extinguishers containing compressed or liquefied gas,,,,
1045,2.3,"Fluorine, compressed",3,0,4,w
1046,2.2,"Helium, compressed",,,,
1048,2.3,"Hydrogen bromide, anhydrous",,,,
1049,2.1,"Hydrogen, compressed",,,,
1050,2.3,"Hydrogen chloride, anhydrous",3,0,0,
1051,6.1,"Hydrogen cyanide, stabilized with less than 3 percent water",,,,
1052,8,"Hydrogen fluoride, anhydrous",4,0,1,
1053,2.3,Hydrogen sulfide,3,4,0,
1055,2.1,"Isobutylene see also Petroleum gases, liquefied",,,,
1056,2.2,"Krypton, compressed",,,,
1057,2.1,"Lighters containing flammable gas, and Lighter refills containing flammable gas not exceeding 4 fluid ounces (7.22 cubic inches) and 65 grams of flammable gas",,,,
1058,2.2,"Liquified gases, nonflammable charged with nitrogen, carbon dioxide, or air",,,,
1060,2.1,"Methyl acetylene and propadiene mixtures, stabilized",,,,
1061,2.1,"Methylamine, anhydrous",3,4,0,
1062,2.3,Methyl bromide,3,1,0,
1063,2.1,"Methyl chloride, or Refrigerant gas R 40",,,,
1064,2.3,Methyl mercaptan,2,4,0,
1065,2.2,"Neon, compressed",,,,
1066,2.2,"Nitrogen, compressed",,,,
1067,2.3,Dinitrogen tetroxide,,,,
1069,2.3,Nitrosyl chloride,,,,
1070,2.2,Nitrous oxide,,,,
1071,2.3,"Oil gas, compressed",,,,
1072,2.2,"Oxygen, compressed",,,,
1073,2.2,"Oxygen, refrigerated liquid (cryogenic liquid)",3,0,0,ox
1075,2.1,"Petroleum gases, liquefied or Liquefied petroleum gas",,,,
1076,2.3,Phosgene,,,,
1077,2.1,"Propylene see also Petroleum gases, liquefied",,,,
1078,2.2,"Refrigerant gases, n.o.s.",,,,
1079,2.3,Sulfur dioxide,3,0,0,
1080,2.2,Sulfur hexafluoride,,,,
1081,2.1,"Tetrafluoroethylene, stabilized",,,,
1082,2.3,"Trifluorochloroethylene, stabilized or Refrigerant gas R 1113",,,,
1083,2.1,"Trimethylamine, anhydrous",3,4,0,
1085,2.1,"Vinyl bromide, stabilized",,,,
1086,2.1,"Vinyl chloride, stabilized or Vinyl chloride, stabilized",2,4,2,
1087,2.1,"Vinyl methyl ether, stabilized",,,,
1088,3,Acetal,,,,
1089,3,Acetaldehyde,2,4,2,
1090,3,Acetone,2,3,0,
1091,3,Acetone oils,,,,
1092,6.1,"Acrolein, stabilized",3,3,3,
1093,3,"Acrylonitrile, stabilized",4,3,2,
